t,y,yref
2.5,1.12,1.12
5,1.1172,1.1197
7.5,1.1172,1.1195
10,1.1172,1.1192
12.5,1.1172,1.119
15,1.1309,1.1318
17.5,1.1486,1.1502
20,1.1627,1.167
22.5,1.1705,1.1775
25,1.1738,1.1824
27.5,1.1736,1.1824
30,1.1707,1.1782
32.5,1.1653,1.1704
35,1.1578,1.1595
37.5,1.1483,1.1459
40,1.1368,1.13
42.5,1.1235,1.1123
45,1.1079,1.0925
47.5,1.0898,1.0708
50,1.0689,1.0476
52.5,1.0453,1.0233
55,1.019,0.99814
57.5,0.99005,0.97271
60,0.95883,0.94738
62.5,0.92564,0.92255
65,0.89095,0.89857
67.5,0.85527,0.87575
70,0.81922,0.85433
72.5,0.7835,0.83454
75,0.74884,0.81655
77.5,0.71603,0.80049
80,0.68587,0.78646
82.5,0.65917,0.77452
85,0.63668,0.76469
87.5,0.61906,0.75697
90,0.60684,0.75132
92.5,0.60033,0.74768
95,0.59959,0.74593
97.5,0.60437,0.74593
100,0.61417,0.74752
102.5,0.62825,0.75051
105,0.6457,0.75468
107.5,0.66553,0.75981
110,0.68675,0.76565
112.5,0.70846,0.77197
115,0.72987,0.77856
117.5,0.75034,0.78521
120,0.76938,0.79172
122.5,0.78666,0.79794
125,0.80198,0.80374
127.5,0.81523,0.80901
130,0.82641,0.81368
132.5,0.83557,0.81771
135,0.84281,0.82107
137.5,0.84827,0.82378
140,0.85212,0.82585
142.5,0.8545,0.82733
145,0.85561,0.82826
147.5,0.85562,0.8287
150,0.85468,0.82871
152.5,0.85297,0.82835
155,0.85063,0.82768
157.5,0.8478,0.82676
160,0.84462,0.82564
162.5,0.84118,0.82437
165,0.8376,0.823
167.5,0.83396,0.82157
170,0.83033,0.8201
172.5,0.82678,0.81864
175,0.82336,0.81719
177.5,0.8201,0.81578
180,0.81703,0.81442
182.5,0.81419,0.81313
185,0.81157,0.81191
187.5,0.80919,0.81078
190,0.80705,0.80973
192.5,0.80514,0.80876
195,0.80346,0.80787
197.5,0.802,0.80707
200,0.80075,0.80635
202.5,0.79995,0.80571
205,0.79949,0.80515
207.5,0.79925,0.80465
210,0.79912,0.80421
212.5,0.79909,0.80384
215,0.79916,0.80352
217.5,0.7993,0.80326
220,0.79952,0.80304
222.5,0.79981,0.80285
225,0.80014,0.80271
227.5,0.80053,0.80259
230,0.80094,0.80249
232.5,0.80137,0.80241
235,0.80181,0.80234
237.5,0.80222,0.80228
240,0.80261,0.80221
242.5,0.80296,0.80214
245,0.80324,0.80205
247.5,0.80345,0.80194
250,0.80358,0.8018
252.5,0.80361,0.80164
255,0.80354,0.80143
257.5,0.80335,0.8012
260,0.80306,0.80092
262.5,0.80266,0.80062
265,0.80213,0.80027
267.5,0.80144,0.79988
270,0.8006,0.79946
272.5,0.79962,0.799
275,0.79854,0.79853
277.5,0.79741,0.79806
280,0.79627,0.79761
282.5,0.79518,0.79718
285,0.79416,0.79681
287.5,0.79326,0.79648
290,0.7925,0.79622
292.5,0.7919,0.79603
295,0.79147,0.7959
297.5,0.79122,0.79585
300,0.79114,0.79587
302.5,0.79124,0.79596
305,0.79151,0.79611
307.5,0.79192,0.79632
310,0.79247,0.79659
312.5,0.79314,0.7969
315,0.7939,0.79725
317.5,0.79474,0.79764
320,0.79564,0.79804
322.5,0.79658,0.79846
325,0.79753,0.79888
327.5,0.79847,0.79931
330,0.7994,0.79972
332.5,0.80029,0.80012
335,0.80112,0.80049
337.5,0.80189,0.80084
340,0.80259,0.80115
342.5,0.8032,0.80142
345,0.80372,0.80166
347.5,0.80414,0.80185
350,0.80446,0.802
352.5,0.80468,0.8021
355,0.8048,0.80216
357.5,0.80482,0.80218
360,0.80475,0.80215
362.5,0.80459,0.80209
365,0.80436,0.802
367.5,0.80406,0.80188
370,0.8037,0.80173
372.5,0.8033,0.80156
375,0.80287,0.80138
377.5,0.80242,0.80119
380,0.80196,0.801
382.5,0.8015,0.80081
385,0.80105,0.80062
387.5,0.80063,0.80043
390,0.80024,0.80026
392.5,0.79988,0.80011
395,0.79956,0.79996
397.5,0.79929,0.79984
400,0.79906,0.79973
402.5,0.79887,0.79964
405,0.79873,0.79957
407.5,0.79863,0.79951
410,0.79857,0.79947
412.5,0.79855,0.79945
415,0.79855,0.79943
417.5,0.79859,0.79943
420,0.79865,0.79944
422.5,0.79872,0.79946
425,0.79882,0.79949
427.5,0.79892,0.79952
430,0.79903,0.79956
432.5,0.79915,0.7996
435,0.79926,0.79964
437.5,0.79938,0.79968
440,0.79949,0.79972
442.5,0.7996,0.79976
445,0.7997,0.7998
447.5,0.7998,0.79984
450,0.79988,0.79987
452.5,0.79996,0.7999
455,0.80003,0.79993
457.5,0.80009,0.79996
460,0.80014,0.79998
462.5,0.80018,0.8
465,0.80021,0.80002
467.5,0.80023,0.80003
470,0.80024,0.80004
472.5,0.80025,0.80005
475,0.80025,0.80005
477.5,0.80024,0.80005
480,0.80023,0.80005
482.5,0.80021,0.80005
485,0.80019,0.80005
487.5,0.80017,0.80004
490,0.80014,0.80003
492.5,0.80011,0.80003
495,0.80008,0.80002
497.5,0.80005,0.80001
500,0.80002,0.8
502.5,0.79999,0.79999
505,0.79996,0.79998
507.5,0.79993,0.79997
510,0.79991,0.79997
512.5,0.79989,0.79996
515,0.83599,0.80859
517.5,0.85913,0.81357
520,0.87285,0.81533
522.5,0.87944,0.81427
525,0.88047,0.81073
527.5,0.87701,0.80504
530,0.86985,0.79747
